"schoolType","COUNTY","SCHOOL","school_code","n","nMMR","nDTP","nPolio","nPBE","nPME","year"
"PUBLIC","SAN BERNARDINO","ALMOND ELEMENTARY",100347,101,100,100,100,1,0,2012
"PUBLIC","SAN BERNARDINO","ALMOND ELEMENTARY",100347,77,77,77,77,0,0,2015
"PUBLIC","VENTURA","THURGOOD MARSHAL ELEM",100362,116,113,114,115,0,0,2013
"PUBLIC","VENTURA","THURGOOD MARSHAL ELEM",100362,104,103,104,104,0,0,2012
"PUBLIC","VENTURA","THURGOOD MARSHAL ELEM",100362,116,104,107,107,0,0,2011
"PUBLIC","VENTURA","THURGOOD MARSHAL ELEM",100362,123,117,115,118,0,0,2006
"PUBLIC","VENTURA","THURGOOD MARSHAL ELEM",100362,153,143,140,136,1,0,2010
"PUBLIC","VENTURA","THURGOOD MARSHAL ELEM",100362,108,106,107,107,0,0,2014
"PUBLIC","VENTURA","THURGOOD MARSHAL ELEM",100362,115,114,114,114,1,0,2008
"PUBLIC","VENTURA","THURGOOD MARSHAL ELEM",100362,97,89,91,92,0,0,2005
"PUBLIC","VENTURA","THURGOOD MARSHAL ELEM",100362,93,81,78,81,0,7,2009
"PUBLIC","VENTURA","THURGOOD MARSHAL ELEM",100362,99,93,90,93,1,0,2004
"PUBLIC","VENTURA","THURGOOD MARSHAL ELEM",100362,95,90,94,94,0,0,2007
"PUBLIC","VENTURA","THURGOOD MARSHAL ELEM",100362,92,86,83,84,0,0,2003
"PUBLIC","VENTURA","THURGOOD MARSHAL ELEM",100362,176,174,174,174,0,0,2015
"PUBLIC","SANTA CRUZ","TIERRA PACIFICA CHARTER",100388,16,11,9,9,2,0,2011
"PUBLIC","SANTA CRUZ","TIERRA PACIFICA CHARTER",100388,16,8,8,8,3,0,2009
"PUBLIC","SANTA CRUZ","TIERRA PACIFICA CHARTER",100388,14,13,13,13,1,0,2006
"PUBLIC","SANTA CRUZ","TIERRA PACIFICA CHARTER",100388,14,8,7,6,0,5,2008
"PUBLIC","SANTA CRUZ","TIERRA PACIFICA CHARTER",100388,16,12,11,11,4,0,2013
"PUBLIC","SANTA CRUZ","TIERRA PACIFICA CHARTER",100388,14,9,8,8,5,0,2007
"PUBLIC","SANTA CRUZ","TIERRA PACIFICA CHARTER",100388,16,15,14,15,1,0,2015
"PUBLIC","SANTA CRUZ","TIERRA PACIFICA CHARTER",100388,15,14,15,15,0,0,2010
"PUBLIC","SANTA CRUZ","TIERRA PACIFICA CHARTER",100388,17,13,13,13,4,0,2012
"PUBLIC","SANTA CRUZ","TIERRA PACIFICA CHARTER",100388,16,13,14,13,1,0,2014
"PUBLIC","SACRAMENTO","SANDRA J GALLARDO ELEMENTARY",100404,137,133,133,133,4,0,2006
"PUBLIC","SACRAMENTO","SANDRA J GALLARDO ELEMENTARY",100404,87,76,76,76,8,3,2012
"PUBLIC","SACRAMENTO","SANDRA J GALLARDO ELEMENTARY",100404,117,112,112,112,5,0,2009
"PUBLIC","SACRAMENTO","SANDRA J GALLARDO ELEMENTARY",100404,113,113,113,113,0,0,2005
"PUBLIC","SACRAMENTO","SANDRA J GALLARDO ELEMENTARY",100404,121,114,114,114,6,1,2004
"PUBLIC","SACRAMENTO","SANDRA J GALLARDO ELEMENTARY",100404,93,73,74,70,4,0,2010
"PUBLIC","SACRAMENTO","SANDRA J GALLARDO ELEMENTARY",100404,121,109,110,110,11,0,2008
"PUBLIC","SACRAMENTO","SANDRA J GALLARDO ELEMENTARY",100404,105,93,92,93,9,0,2011
"PUBLIC","SACRAMENTO","SANDRA J GALLARDO ELEMENTARY",100404,80,71,71,71,9,0,2013
"PUBLIC","SACRAMENTO","SANDRA J GALLARDO ELEMENTARY",100404,111,103,103,103,8,0,2007
"PUBLIC","SACRAMENTO","SANDRA J GALLARDO ELEMENTARY",100404,58,57,57,57,1,0,2014
"PUBLIC","SACRAMENTO","SANDRA J GALLARDO ELEMENTARY",100404,68,67,67,67,1,0,2015
"PUBLIC","SACRAMENTO","SANDRA J GALLARDO ELEMENTARY",100404,114,105,105,105,8,1,2003
"PUBLIC","RIVERSIDE","MONTE VISTA ELEMENTARY",100412,147,108,107,110,34,2,2013
"PUBLIC","RIVERSIDE","MONTE VISTA ELEMENTARY",100412,111,106,108,107,0,1,2007
"PUBLIC","RIVERSIDE","MONTE VISTA ELEMENTARY",100412,181,171,172,173,4,1,2012
"PUBLIC","RIVERSIDE","MONTE VISTA ELEMENTARY",100412,124,120,120,119,2,0,2010
"PUBLIC","RIVERSIDE","MONTE VISTA ELEMENTARY",100412,115,111,110,110,1,0,2003
"PUBLIC","RIVERSIDE","MONTE VISTA ELEMENTARY",100412,194,186,186,185,7,0,2015
"PUBLIC","RIVERSIDE","MONTE VISTA ELEMENTARY",100412,120,117,116,116,2,0,2008
"PUBLIC","RIVERSIDE","MONTE VISTA ELEMENTARY",100412,152,144,146,145,5,1,2014
"PUBLIC","RIVERSIDE","MONTE VISTA ELEMENTARY",100412,150,147,143,143,3,0,2011
"PUBLIC","RIVERSIDE","MONTE VISTA ELEMENTARY",100412,192,186,184,186,2,0,2006
"PUBLIC","RIVERSIDE","MONTE VISTA ELEMENTARY",100412,134,130,130,131,2,1,2009
"PUBLIC","RIVERSIDE","MONTE VISTA ELEMENTARY",100412,159,154,154,156,1,0,2004
"PUBLIC","RIVERSIDE","MONTE VISTA ELEMENTARY",100412,163,161,159,161,1,0,2005
"PUBLIC","CONTRA COSTA","LONE TREE ELEMENTARY",100461,116,98,82,99,0,0,2013
"PUBLIC","CONTRA COSTA","LONE TREE ELEMENTARY",100461,110,104,103,104,3,0,2012
"PUBLIC","CONTRA COSTA","LONE TREE ELEMENTARY",100461,139,135,135,135,1,0,2003
"PUBLIC","CONTRA COSTA","LONE TREE ELEMENTARY",100461,117,114,113,114,0,0,2004
"PUBLIC","CONTRA COSTA","LONE TREE ELEMENTARY",100461,124,117,117,117,5,0,2009
"PUBLIC","CONTRA COSTA","LONE TREE ELEMENTARY",100461,119,112,110,112,7,0,2008
"PUBLIC","CONTRA COSTA","LONE TREE ELEMENTARY",100461,116,110,110,110,3,0,2010
"PUBLIC","CONTRA COSTA","LONE TREE ELEMENTARY",100461,119,114,112,113,3,0,2007
"PUBLIC","CONTRA COSTA","LONE TREE ELEMENTARY",100461,125,123,122,122,1,0,2011
"PUBLIC","CONTRA COSTA","LONE TREE ELEMENTARY",100461,120,118,118,118,0,0,2005
"PUBLIC","CONTRA COSTA","LONE TREE ELEMENTARY",100461,129,123,126,124,2,0,2006
"PUBLIC","RIVERSIDE","FREEDOM CREST ELEMENTARY",100503,155,152,153,153,0,0,2007
"PUBLIC","RIVERSIDE","FREEDOM CREST ELEMENTARY",100503,94,94,94,94,0,0,2003
