longitude,latitude,school_code,countyMatch,isSchool
-117.650026,34.038823,6993885,1,1
-117.298944,34.1727547,6975015,1,1
-117.6888722,34.0696915,6975031,1,0
-116.4476959,34.1082773,6930267,1,1
-117.661094,34.0991844,7100480,1,1
-117.279234,34.130935,6987879,1,0
0,0,6938641,0,0
-117.3215893,34.114583,6974851,1,0
-117.3107589,34.0877303,7092372,1,0
-117.3067833,34.0976746,6987929,1,1
-117.598712,34.1331901,6200612,1,1
-117.086101,32.719328,6965487,0,0
-117.1987527,34.0532799,6975056,1,1
-117.1742339,34.068222,6975049,1,1
-117.4241611,34.1141916,6975064,1,1
-117.3973169,34.0916087,7104789,1,1
-117.2706923,34.1007304,9136542,1,0
-117.3824423,34.0808282,6927511,1,0
-117.18246,34.0519,6975072,1,1
-117.5282095,34.1068933,6981948,1,1
-117.2419283,34.5374366,6975163,1,1
-98.4587843,29.6217152,6975007,0,1
-117.2609062,34.1349327,6981955,1,0
-117.273975,34.085579,7080443,1,1
-117.2983224,34.0991868,7100464,1,0
-117.204751,34.120933,6975080,1,1
-117.3183891,34.1287969,6975106,1,1
-117.3653629,34.1053639,6975114,1,1
-120.6534875,35.2753587,6975122,0,0
-117.2057,33.147042,6975130,0,1
-117.4317626,34.0997342,6965495,1,1
-117.6899403,34.0235549,6975148,1,0
-117.647008,34.120579,6925192,1,1
-117.4425035,34.0485723,6975155,1,0
-117.606627,34.142793,7007776,1,1
-117.1353576,32.6990226,6975098,0,0
-117.606627,34.142793,7997776,1,1
-122.4862093,37.7611314,7079536,0,1
-117.714716,33.9878209,6139364,1,1
-117.6968129,34.1074885,6905913,1,0
-117.277743,34.059068,6140289,1,0
-117.1950248,34.1250875,835501,1,1
-117.5680875,34.1028635,6907711,1,1
-117.2851445,34.1287056,6975221,1,1
-117.1554156,34.0317851,6975239,1,1
-117.3309273,34.4868273,6938708,1,1
-117.513052,34.114666,7104623,1,1
-117.2706923,34.1007304,3630985,1,0
-117.2013743,34.0415925,6133839,1,1
